ID_CLIENTE,FECHA,TIPO DE CREDITO,COOPERATIVA,MONTO,PLAZO,PAGADURIA,ANIO_NACIMIENTO,ESTADO,FECHA DE DESEMBOLSO,EDAD_AL_PRESTAMO,DIAS_HASTA_DESEMBOLSO,MONTO_M,ANIO,MES
54,2019-08-20,COMPRA DE CARTERA,CREDIVALORES,15171000.0,120.0,CASUR,1949,DESEMBOLSADO,2019-09-02,70.0,13.0,15.171,2019.0,8.0
55,2019-08-20,COMPRA DE CARTERA,CREDIVALORES,10671000.0,120.0,CASUR,1952,DESEMBOLSADO,2019-09-02,67.0,13.0,10.671,2019.0,8.0
56,2019-08-22,COMPRA DE CARTERA,MISSION,1500000.0,108.0,FIDUPREVISORA,1950,NO_DESEMBOLSADO,,69.0,,1.5,2019.0,8.0
57,2019-08-22,COMPRA DE CARTERA,MISSION,40000000.0,108.0,COLPENSIONES,1950,DESEMBOLSADO,2019-09-12,69.0,21.0,40.0,2019.0,8.0
58,2019-08-22,COMPRA DE CARTERA,CREDIVALORES,9959066.0,120.0,CASUR,1960,DESEMBOLSADO,2019-09-09,59.0,18.0,9.959066,2019.0,8.0
59,2019-08-22,LIBRE INVERSIÓN,MISSION,3000000.0,36.0,CREMIL,1969,DESEMBOLSADO,2019-08-28,50.0,6.0,3.0,2019.0,8.0
60,2019-08-23,LIBRE INVERSIÓN,COOPIDESARROLLO,5000000.0,60.0,COLPENSIONES,1957,DESEMBOLSADO,2019-09-02,62.0,10.0,5.0,2019.0,8.0
26,2019-08-27,COMPRA DE CARTERA,MISSION,3500000.0,108.0,COLPENSIONES,1948,NO_DESEMBOLSADO,,71.0,,3.5,2019.0,8.0
61,2019-08-27,COMPRA DE CARTERA,MISSION,12000000.0,108.0,COLPENSIONES,1970,NO_DESEMBOLSADO,,49.0,,12.0,2019.0,8.0
62,2019-08-29,LIBRE INVERSIÓN,CREDIFINANCIERA,10676000.0,120.0,FOPEP,1943,NO_DESEMBOLSADO,,76.0,,10.676,2019.0,8.0
63,2019-09-02,LIBRE INVERSIÓN,COOPIDESARROLLO,1200000.0,48.0,COLPENSIONES,1939,DESEMBOLSADO,2019-09-11,80.0,9.0,1.2,2019.0,9.0
64,2019-09-02,LIBRE INVERSIÓN,BAYPORT,2100000.0,24.0,FERROCARRILES,1946,NO_DESEMBOLSADO,,73.0,,2.1,2019.0,9.0
65,2019-09-02,LIBRE INVERSIÓN,MISSION,1800000.0,24.0,COLPENSIONES,1927,DESEMBOLSADO,2019-09-13,92.0,11.0,1.8,2019.0,9.0
66,2019-09-02,COMPRA DE CARTERA,CREDIVALORES,7967000.0,144.0,COLPENSIONES,1967,DESEMBOLSADO,2019-09-13,52.0,11.0,7.967,2019.0,9.0
67,2019-09-03,LIBRE INVERSIÓN,MISSION,5000000.0,60.0,COLPENSIONES,2012,DESEMBOLSADO,2019-09-20,,17.0,5.0,2019.0,9.0
68,2019-09-07,LIBRE INVERSIÓN,MISSION,1600000.0,108.0,COLPENSIONES,1956,DESEMBOLSADO,2019-09-23,63.0,16.0,1.6,2019.0,9.0
69,2019-09-08,COMPRA DE CARTERA,MISSION,5800000.0,108.0,SEGUROS ALFA,1979,DESEMBOLSADO,2019-11-26,40.0,,5.8,2019.0,9.0
70,2019-09-09,LIBRE INVERSIÓN,MISSION,4000000.0,108.0,TEGEN,1962,DESEMBOLSADO,2019-09-18,57.0,9.0,4.0,2019.0,9.0
71,2019-09-11,LIBRE INVERSIÓN,COOPIDESARROLLO,7000000.0,48.0,FOPEP,1949,DESEMBOLSADO,2019-09-20,70.0,9.0,7.0,2019.0,9.0
49,2019-09-11,LIBRE INVERSIÓN,MISSION,1000000.0,36.0,COLPENSIONES,1954,DESEMBOLSADO,2019-09-24,65.0,13.0,1.0,2019.0,9.0
72,2019-09-12,LIBRE INVERSIÓN,FUNDACION,750000.0,0.0,FERROCARRILES,1934,NO_DESEMBOLSADO,,85.0,,0.75,2019.0,9.0
73,2019-09-12,LIBRE INVERSIÓN,MISSION,2000000.0,36.0,COLPENSIONES,1955,NO_DESEMBOLSADO,,64.0,,2.0,2019.0,9.0
74,2019-09-16,LIBRE INVERSIÓN,COPFINANCIAR,30000000.0,60.0,PROTECCION,1964,DESEMBOLSADO,2019-10-07,55.0,21.0,30.0,2019.0,9.0
75,2019-09-18,LIBRE INVERSIÓN,MISSION,3200000.0,108.0,COLPENSIONES,1952,DESEMBOLSADO,2019-09-24,67.0,6.0,3.2,2019.0,9.0
76,2019-09-18,REFINANCIACIÓN,COPFINANCIAR,4233950.0,72.0,PROTECCION,1960,DESEMBOLSADO,2019-10-07,59.0,19.0,4.23395,2019.0,9.0
77,2019-09-23,COMPRA DE CARTERA,MISSION,3000000.0,24.0,COLPENSIONES,1928,DESEMBOLSADO,2019-09-30,91.0,7.0,3.0,2019.0,9.0
78,2019-09-23,COMPRA DE CARTERA,CREDIVALORES,15778655.0,120.0,MAPFRE,1979,DESEMBOLSADO,2019-10-25,40.0,,15.778655,2019.0,9.0
10,2019-09-25,COMPRA DE CARTERA,MISSION,3000000.0,108.0,COLPENSIONES,1945,NO_DESEMBOLSADO,,74.0,,3.0,2019.0,9.0
30,2019-09-25,LIBRE INVERSIÓN,MISSION,900000.0,108.0,CASUR,1966,DESEMBOLSADO,2019-09-30,53.0,5.0,0.9,2019.0,9.0
79,2019-09-27,LIBRE INVERSIÓN,CREDIVALORES,1100000.0,120.0,CASUR,1943,DESEMBOLSADO,2019-10-02,76.0,5.0,1.1,2019.0,9.0
80,2019-09-30,LIBRE INVERSIÓN,MISSION,30000000.0,108.0,COLPENSIONES,1956,DESEMBOLSADO,2019-10-07,63.0,7.0,30.0,2019.0,9.0
81,2019-10-01,COMPRA DE CARTERA,CREDIVALORES,23809000.0,120.0,CASUR,1961,NO_DESEMBOLSADO,,58.0,,23.809,2019.0,10.0
82,2019-10-02,LIBRE INVERSIÓN,COPFINANCIAR,9000000.0,60.0,COLPENSIONES,1950,NO_DESEMBOLSADO,,69.0,,9.0,2019.0,10.0
83,2019-10-02,LIBRE INVERSIÓN,MISSION,1300000.0,108.0,TEGEN,1962,NO_DESEMBOLSADO,,57.0,,1.3,2019.0,10.0
84,2019-10-02,LIBRE INVERSIÓN,COPFINANCIAR,2000000.0,60.0,CREMIL,1973,DESEMBOLSADO,2019-10-07,46.0,5.0,2.0,2019.0,10.0
85,2019-10-04,COMPRA DE CARTERA,MISSION,40000000.0,108.0,COLPENSIONES,1956,DESEMBOLSADO,,63.0,,40.0,2019.0,10.0
86,2019-10-08,COMPRA DE CARTERA,MISSION,29000000.0,108.0,COLPENSIONES,1960,DESEMBOLSADO,2019-10-18,59.0,10.0,29.0,2019.0,10.0
87,2019-10-09,LIBRE INVERSIÓN,MISSION,1200000.0,60.0,CASUR,1940,DESEMBOLSADO,2019-10-22,79.0,13.0,1.2,2019.0,10.0
88,2019-10-09,COMPRA DE CARTERA,CREDIVALORES,6035721.0,144.0,COLPENSIONES,1955,NO_DESEMBOLSADO,,64.0,,6.035721,2019.0,10.0
89,2019-10-11,LIBRE INVERSIÓN,CREDIVALORES,15778080.0,120.0,PORVENIR,1956,DESEMBOLSADO,2019-11-14,63.0,,15.77808,2019.0,10.0
90,2019-10-11,REFINANCIACIÓN,COPFINANCIAR,5000000.0,72.0,PROTECCION,1959,DESEMBOLSADO,2019-10-24,60.0,13.0,5.0,2019.0,10.0
91,2019-10-15,COMPRA DE CARTERA,MISSION,10000000.0,108.0,COLPENSIONES,1939,NO_DESEMBOLSADO,,80.0,,10.0,2019.0,10.0
92,2019-10-16,LIBRE INVERSIÓN,PRONALCREDIT,10500000.0,60.0,SEGUROS BOLIVAR,1974,DESEMBOLSADO,2019-10-28,45.0,12.0,10.5,2019.0,10.0
93,2019-10-16,LIBRE INVERSIÓN,MISSION,4500000.0,108.0,COLPENSIONES,1961,NO_DESEMBOLSADO,,58.0,,4.5,2019.0,10.0
74,2019-10-23,LIBRE INVERSIÓN,COPFINANCIAR,4500000.0,60.0,PROTECCION,1964,DESEMBOLSADO,2019-11-14,55.0,22.0,4.5,2019.0,10.0
94,2019-10-23,COMPRA DE CARTERA,MISSION,11800000.0,108.0,COLPENSIONES,1965,DESEMBOLSADO,2019-11-27,54.0,,11.8,2019.0,10.0
41,2019-10-29,COMPRA DE CARTERA,CREDIVALORES,7892447.0,144.0,COLPENSIONES,1947,DESEMBOLSADO,2019-01-08,72.0,,7.892447,2019.0,10.0
95,2019-10-29,LIBRE INVERSIÓN,PRONALCREDIT,5000000.0,60.0,SEGUROS ALFA,1991,DESEMBOLSADO,2019-11-15,,17.0,5.0,2019.0,10.0
96,2019-11-01,COMPRA DE CARTERA,GIROS Y FINANZAS,17000000.0,120.0,COLFONDOS,,DESEMBOLSADO,,,,17.0,2019.0,11.0
97,2019-11-01,COMPRA DE CARTERA,GIROS Y FINANZAS,8500000.0,120.0,COLPENSIONES,1964,DESEMBOLSADO,,55.0,,8.5,2019.0,11.0
98,2019-11-01,LIBRE INVERSIÓN,MISSION,11500000.0,108.0,COLPENSIONES,1989,DESEMBOLSADO,2019-11-08,,7.0,11.5,2019.0,11.0
10,2019-11-06,COMPRA DE CARTERA,GIROS Y FINANZAS,7000000.0,120.0,COLPENSIONES,1945,NO_DESEMBOLSADO,,74.0,,7.0,2019.0,11.0
99,2019-11-06,LIBRE INVERSIÓN,MISSION,6500000.0,72.0,SOLDADO PROFESIONAL,1982,DESEMBOLSADO,2019-11-08,37.0,2.0,6.5,2019.0,11.0
100,2019-11-06,COMPRA DE CARTERA,MISSION,2000000.0,72.0,POLICIA NACIONAL,1991,DESEMBOLSADO,2019-11-26,,20.0,2.0,2019.0,11.0
101,2019-11-07,LIBRE INVERSIÓN,MISSION,10000000.0,108.0,COLPENSIONES,1957,DESEMBOLSADO,2019-11-15,62.0,8.0,10.0,2019.0,11.0
80,2019-11-08,LIBRE INVERSIÓN,MISSION,5000000.0,48.0,COLPENSIONES,1956,DESEMBOLSADO,2019-11-20,63.0,12.0,5.0,2019.0,11.0
102,2019-11-08,COMPRA DE CARTERA,MISSION,20000000.0,108.0,COLPENSIONES,1941,DESEMBOLSADO,2019-11-29,78.0,21.0,20.0,2019.0,11.0
88,2019-11-08,COMPRA DE CARTERA,GIROS Y FINANZAS,45000000.0,120.0,COLPENSIONES,1955,DESEMBOLSADO,2020-01-20,64.0,,45.0,2019.0,11.0
103,2019-11-15,LIBRE INVERSIÓN,VIVECREDITO,4242351.0,36.0,CASUR,1960,DESEMBOLSADO,2019-11-29,59.0,14.0,4.242351,2019.0,11.0
104,2019-11-18,LIBRE INVERSIÓN,FUNDACION,5000000.0,60.0,FERROCARRILES,1952,NO_DESEMBOLSADO,,67.0,,5.0,2019.0,11.0
105,2019-11-19,LIBRE INVERSIÓN,COPFINANCIAR,2000000.0,36.0,PORVENIR,1955,DESEMBOLSADO,2019-11-27,64.0,8.0,2.0,2019.0,11.0
106,2019-11-19,LIBRE INVERSIÓN,COPFINANCIAR,4000000.0,60.0,PORVENIR,1963,DESEMBOLSADO,2019-11-27,56.0,8.0,4.0,2019.0,11.0
48,2019-11-25,LIBRE INVERSIÓN,MISSION,1200000.0,108.0,FIDUPREVISORA,1960,DESEMBOLSADO,2019-11-29,59.0,4.0,1.2,2019.0,11.0
102,2019-11-25,COMPRA DE CARTERA,VIVECREDITO,7640689.0,108.0,FOPEP,1941,NO_DESEMBOLSADO,,78.0,,7.640689,2019.0,11.0
107,2019-11-25,COMPRA DE CARTERA,MISSION,6500000.0,108.0,FIDUPREVISORA,1957,NO_DESEMBOLSADO,,62.0,,6.5,2019.0,11.0
108,2019-11-25,LIBRE INVERSIÓN,MISSION,9000000.0,36.0,SOLDADO PROFESIONAL,1978,DESEMBOLSADO,2019-11-29,41.0,4.0,9.0,2019.0,11.0
